resource_id,satellite_id,mission_id,timestamp,orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,remaining_battery_percent,power_consumption_kw,memory_after_mission_gb,health_score,mission_risk,memory_utilization_percent
1,SAT-0082,MIS-000001,2022-11-21 06:36:00,LEO,681,77,77,7.14,0.35,0,0.68,18,76,41,512,19,14.4,3.78,0.82,77,85.0,0.82,41,94.0,LOW,8.0078125
2,SAT-0001,MIS-000002,2023-04-11 00:59:00,GEO,35786,15,72,0.74,0.39,6,6.94,27,103,432,512,82,56.5,5.56,7.63,72,38.5,7.63,432,45.2,MEDIUM,84.375
3,SAT-0047,MIS-000003,2023-07-15 01:56:00,GEO,35786,26,79,6.93,1.52,0,0.86,93,300,159,512,58,30.9,18.67,2.66,79,67.3,2.66,159,86.9,LOW,31.0546875
4,SAT-0021,MIS-000004,2025-09-08 10:19:00,LEO,1055,72,52,6.21,0.92,2,3.04,28,104,178,512,53,31.8,5.66,3.88,52,44.4,3.88,178,77.7,LOW,34.765625
5,SAT-0083,MIS-000005,2025-08-29 12:04:00,LEO,542,96,73,3.43,2.33,2,2.95,68,225,250,512,61,38.3,13.69,4.04,73,52.7,4.04,250,81.1,LOW,48.828125
6,SAT-0050,MIS-000006,2025-01-16 13:07:00,MEO,13669,55,84,5.44,0.46,6,7.54,116,369,500,512,100,58.1,23.32,8.0,84,44.2,8.0,500,23.3,HIGH,97.65625
7,SAT-0014,MIS-000007,2024-05-19 06:48:00,SSO,601,98,50,7.63,3.69,6,6.76,20,81,397,512,93,54.0,4.09,7.32,50,32.7,7.32,397,44.8,HIGH,77.5390625
8,SAT-0011,MIS-000008,2025-11-16 13:11:00,SSO,892,98,88,4.4,1.06,5,5.98,17,71,361,512,72,50.2,3.46,6.36,88,68.6,6.36,361,74.2,MEDIUM,70.5078125
9,SAT-0067,MIS-000009,2025-08-08 01:10:00,LEO,630,42,90,1.76,0.28,4,4.63,4,34,280,512,53,34.1,0.99,4.55,90,74.5,4.55,280,89.8,LOW,54.6875
10,SAT-0093,MIS-000010,2025-10-08 18:05:00,LEO,884,51,96,2.83,1.64,0,0.66,24,94,64,512,39,17.4,4.97,0.91,96,94.0,0.91,64,97.6,LOW,12.5
11,SAT-0055,MIS-000011,2023-06-19 10:44:00,LEO,655,30,84,0.78,2.61,6,7.46,54,183,481,512,93,63.1,10.91,8.0,84,44.8,8.0,481,24.8,HIGH,93.9453125
12,SAT-0022,MIS-000012,2025-01-08 20:08:00,LEO,799,7,95,7.96,2.22,5,6.46,36,128,371,512,80,52.0,7.2,7.2,95,76.4,7.2,371,71.1,MEDIUM,72.4609375
13,SAT-0068,MIS-000013,2023-04-04 13:20:00,LEO,920,53,86,1.88,0.48,0,0.68,10,51,22,512,33,21.1,2.11,0.83,86,84.8,0.83,22,93.9,LOW,4.296875
14,SAT-0051,MIS-000014,2023-01-17 05:03:00,GEO,35786,44,56,4.97,2.25,0,0.5,111,354,199,512,60,28.5,22.33,2.21,56,39.2,2.21,199,75.7,LOW,38.8671875
15,SAT-0091,MIS-000015,2024-05-31 03:28:00,GEO,35786,34,58,5.31,3.76,4,4.7,80,262,397,512,85,51.7,16.19,6.03,58,31.5,6.03,397,51.1,MEDIUM,77.5390625
16,SAT-0033,MIS-000016,2022-05-28 23:06:00,LEO,833,9,97,5.1,1.05,2,2.97,7,43,154,512,46,27.1,1.54,3.21,97,93.1,3.21,154,97.3,LOW,30.078125
17,SAT-0019,MIS-000017,2025-06-05 20:16:00,LEO,715,30,85,5.34,1.41,1,1.78,108,344,256,512,76,43.7,21.62,4.0,85,62.4,4.0,256,77.5,LOW,50.0
18,SAT-0053,MIS-000018,2023-12-24 20:08:00,LEO,1118,24,72,1.6,3.67,6,7.07,105,335,500,512,100,57.2,21.0,8.0,72,26.4,8.0,500,17.3,HIGH,97.65625
19,SAT-0066,MIS-000019,2025-03-10 03:32:00,GEO,35786,55,56,7.7,1.06,2,2.38,16,68,173,512,47,33.7,3.21,2.87,56,57.4,2.87,173,82.9,LOW,33.7890625
20,SAT-0091,MIS-000020,2025-06-24 02:37:00,LEO,951,15,92,2.91,0.28,5,6.17,113,359,495,512,100,63.6,22.6,8.0,92,47.7,8.0,495,19.1,HIGH,96.6796875
21,SAT-0090,MIS-000021,2024-05-11 03:47:00,MEO,11888,55,75,1.39,2.28,5,6.25,113,359,494,512,100,59.9,22.6,8.0,75,27.7,8.0,494,15.7,HIGH,96.484375
22,SAT-0095,MIS-000022,2023-05-10 06:17:00,GEO,35786,31,69,7.62,0.94,2,2.29,76,250,251,512,66,32.6,15.37,3.53,69,57.8,3.53,251,83.1,LOW,49.0234375
23,SAT-0090,MIS-000023,2025-01-23 10:02:00,MEO,7417,31,64,7.08,3.11,6,7.46,83,269,500,512,100,57.5,16.66,8.0,64,32.8,8.0,500,19.5,HIGH,97.65625
24,SAT-0072,MIS-000024,2024-07-13 04:44:00,SSO,868,98,97,4.38,3.59,3,4.13,107,341,364,512,96,57.0,21.46,6.32,97,63.3,6.32,364,51.9,MEDIUM,71.09375
25,SAT-0010,MIS-000025,2024-04-12 05:50:00,LEO,743,7,54,5.55,2.83,1,1.33,11,55,101,512,34,22.9,2.39,1.62,54,56.7,1.62,101,82.7,LOW,19.7265625
26,SAT-0003,MIS-000026,2025-01-12 22:33:00,MEO,9892,62,88,5.98,2.18,6,7.02,48,164,449,512,100,59.7,9.66,8.0,88,60.2,8.0,449,37.8,HIGH,87.6953125
27,SAT-0080,MIS-000027,2022-03-20 13:05:00,SSO,839,98,66,6.93,0.73,5,5.93,5,37,328,512,68,46.2,1.14,6.09,66,54.6,6.09,328,74.4,MEDIUM,64.0625
28,SAT-0011,MIS-000028,2025-10-01 20:49:00,LEO,952,16,65,5.21,3.02,0,0.78,28,106,70,512,21,15.5,5.77,1.2,65,66.0,1.2,70,86.4,LOW,13.671875
29,SAT-0099,MIS-000029,2024-12-10 11:38:00,LEO,1021,25,69,2.49,2.31,6,6.76,15,67,402,512,88,60.9,3.19,7.23,69,42.5,7.23,402,42.9,HIGH,78.515625
30,SAT-0077,MIS-000030,2022-12-19 14:21:00,GEO,35786,46,50,0.55,2.59,3,3.96,43,149,257,512,72,44.1,8.66,5.08,50,23.9,5.08,257,63.6,MEDIUM,50.1953125
31,SAT-0035,MIS-000031,2025-11-09 06:55:00,MEO,14707,43,65,0.69,3.53,1,1.93,40,141,148,512,54,34.2,8.07,2.93,65,48.2,2.93,148,79.3,LOW,28.90625
32,SAT-0044,MIS-000032,2024-03-25 13:32:00,SSO,641,98,81,0.68,2.88,4,5.35,67,223,375,512,84,53.2,13.56,6.67,81,44.8,6.67,375,55.1,MEDIUM,73.2421875
33,SAT-0032,MIS-000033,2024-06-10 21:21:00,GEO,35786,24,79,4.4,1.41,3,4.3,64,214,295,512,73,42.3,12.98,5.37,79,55.9,5.37,295,78.1,LOW,57.6171875
34,SAT-0076,MIS-000034,2024-04-04 07:02:00,SSO,616,98,53,4.27,1.1,2,2.21,44,154,216,512,51,36.5,8.98,3.15,53,41.8,3.15,216,76.7,LOW,42.1875
35,SAT-0024,MIS-000035,2022-05-30 15:29:00,LEO,889,97,86,5.49,0.61,0,0.58,49,168,91,512,31,19.9,9.92,1.87,86,81.6,1.87,91,92.6,LOW,17.7734375
36,SAT-0076,MIS-000036,2025-06-03 01:22:00,LEO,1035,20,92,1.66,0.84,0,0.95,115,365,194,512,63,34.0,23.06,2.73,92,66.0,2.73,194,86.4,LOW,37.890625
37,SAT-0091,MIS-000037,2024-04-03 11:26:00,GEO,35786,34,62,5.0,2.64,2,2.99,29,109,179,512,58,37.4,5.99,3.59,62,52.8,3.59,179,81.1,LOW,34.9609375
38,SAT-0073,MIS-000038,2024-04-20 15:20:00,LEO,879,11,52,3.95,0.32,2,2.7,84,274,279,512,73,40.2,16.94,4.53,52,28.2,4.53,279,69.6,MEDIUM,54.4921875
39,SAT-0084,MIS-000039,2025-07-12 02:04:00,SSO,723,98,70,3.76,1.63,3,4.27,77,251,318,512,75,47.4,15.42,5.82,70,41.9,5.82,318,65.4,MEDIUM,62.109375
40,SAT-0042,MIS-000040,2022-12-04 15:30:00,SSO,763,98,62,4.34,1.65,0,0.66,99,318,188,512,68,33.5,19.89,2.48,62,44.8,2.48,188,77.9,LOW,36.71875
41,SAT-0057,MIS-000041,2025-11-12 19:48:00,LEO,1045,63,57,4.42,0.37,2,2.75,85,277,282,512,67,43.9,17.18,4.3,57,34.9,4.3,282,69.3,MEDIUM,55.078125
42,SAT-0061,MIS-000042,2023-12-11 22:01:00,MEO,11284,64,99,1.09,0.28,4,5.15,110,352,432,512,100,63.7,22.16,7.35,99,54.1,7.35,432,33.8,HIGH,84.375
43,SAT-0085,MIS-000043,2025-11-27 04:20:00,SSO,747,98,62,3.02,3.73,4,5.16,43,149,331,512,74,49.1,8.61,6.36,62,35.7,6.36,331,61.4,MEDIUM,64.6484375
44,SAT-0049,MIS-000044,2025-01-29 12:51:00,SSO,753,98,78,4.72,3.48,1,1.6,115,367,250,512,80,41.8,23.17,3.4,78,55.3,3.4,250,75.0,MEDIUM,48.828125
45,SAT-0089,MIS-000045,2025-03-03 18:05:00,GEO,35786,80,81,5.01,3.55,3,4.25,103,330,369,512,82,47.6,20.69,6.38,81,48.9,6.38,369,64.5,MEDIUM,72.0703125
46,SAT-0098,MIS-000046,2022-10-20 17:57:00,LEO,1110,21,65,2.87,1.72,6,6.66,7,43,398,512,91,59.0,1.58,6.96,65,41.6,6.96,398,43.4,HIGH,77.734375
47,SAT-0019,MIS-000047,2023-11-08 07:08:00,MEO,12529,54,54,2.3,2.19,6,7.07,80,262,500,512,100,60.0,16.17,8.0,54,13.7,8.0,500,8.8,HIGH,97.65625
48,SAT-0014,MIS-000048,2023-11-22 21:52:00,LEO,767,63,50,6.64,1.58,2,2.22,119,377,344,512,78,44.3,23.83,4.4,50,26.6,4.4,344,61.5,MEDIUM,67.1875
49,SAT-0025,MIS-000049,2024-01-01 00:04:00,GEO,35786,16,69,7.23,2.59,1,1.73,82,267,215,512,54,33.3,16.5,3.46,69,56.4,3.46,215,82.6,LOW,41.9921875
