orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score,memory_utilization_percent
MEO,15293.18,50.09,66.03,1.46,0.42,4,1.83,56.08,274.65,425.79,512.0,81.38,45.6,5.5,2.42,63.97,2.23,3.84,HIGH,11.05,83.162109375
LEO,356.77,39.9,30.19,1.76,1.45,4,2.99,20.16,135.47,328.03,512.0,50.23,73.83,6.78,3.67,26.24,3.33,0.0,HIGH,13.58,64.068359375
GEO,35786.0,3.76,94.77,2.38,1.56,1,1.02,55.05,414.45,78.87,512.0,35.63,57.49,7.17,1.42,94.42,1.4,57.88,MEDIUM,60.5,15.404296875
SSO,687.0,97.17,37.38,2.39,1.5,2,1.09,28.25,203.86,209.71,512.0,56.18,60.34,6.35,1.51,40.36,1.56,1.72,HIGH,19.26,40.958984375
LEO,673.37,58.89,66.36,4.08,1.52,4,4.75,56.36,314.09,416.93,512.0,57.97,66.62,1.55,4.82,60.91,5.03,64.58,HIGH,17.94,81.431640625
SSO,754.29,98.63,92.6,3.84,0.14,1,0.78,37.01,73.62,339.21,512.0,63.94,56.86,6.36,1.36,96.31,1.03,96.15,MEDIUM,48.02,66.251953125
LEO,661.22,70.81,33.17,4.25,1.11,3,2.16,22.65,154.81,433.4,512.0,93.98,26.02,7.57,2.22,32.07,2.51,0.0,HIGH,18.59,84.6484375
SSO,645.7,98.94,62.64,1.86,1.67,4,2.43,38.26,83.84,260.33,512.0,45.64,73.88,5.0,2.38,67.41,2.65,0.0,HIGH,28.81,50.845703125
GEO,35786.0,4.26,95.61,3.12,1.5,4,2.25,54.85,75.42,467.29,512.0,70.28,25.97,5.72,2.74,95.87,2.64,35.11,MEDIUM,59.18,91.267578125
SSO,627.94,98.42,97.25,3.4,0.48,4,2.29,34.1,414.38,363.84,512.0,56.09,25.65,9.26,2.76,93.4,2.67,0.0,HIGH,23.29,71.0625
SSO,618.98,97.8,72.86,2.91,0.09,5,4.13,30.96,422.5,420.93,512.0,85.27,70.35,6.58,4.45,71.86,4.41,0.0,HIGH,40.47,82.212890625
MEO,3130.56,51.71,94.52,3.48,1.72,5,2.94,21.46,102.67,154.28,512.0,67.61,70.93,5.86,3.15,91.69,3.4,7.0,HIGH,42.93,30.1328125
SSO,621.23,97.63,89.43,1.87,0.75,4,4.31,50.85,240.14,207.61,512.0,29.13,25.82,1.23,4.94,90.04,4.81,73.32,LOW,75.36,40.548828125
GEO,35786.0,2.12,80.92,4.16,0.6,1,1.03,15.84,303.74,159.98,512.0,13.75,28.87,7.2,1.9,77.13,1.57,57.13,LOW,85.17,31.246093749999996
GEO,35786.0,3.21,80.64,0.81,0.38,5,4.2,44.07,356.55,295.74,512.0,33.15,24.67,5.16,4.47,85.22,4.65,0.0,HIGH,35.39,57.76171875
SSO,596.61,98.69,37.38,0.9,1.7,3,1.33,34.3,133.69,36.17,512.0,48.16,36.15,3.53,1.86,33.7,1.7,9.18,HIGH,42.34,7.064453125
GEO,35786.0,0.3,39.4,2.36,0.21,1,0.59,15.26,192.63,63.21,512.0,66.94,36.5,8.89,1.02,35.95,1.11,3.66,HIGH,28.61,12.345703125
LEO,986.51,82.39,36.2,3.72,0.02,1,0.76,28.23,327.88,107.58,512.0,88.45,46.46,7.59,1.07,33.25,1.31,16.22,HIGH,42.08,21.01171875
LEO,343.49,60.65,77.36,3.7,1.07,1,0.5,52.09,320.14,19.22,512.0,41.51,24.84,5.39,1.01,76.2,0.92,89.63,LOW,91.27,3.75390625
LEO,826.77,47.13,57.28,2.68,0.26,2,1.24,12.09,125.71,37.79,512.0,83.42,69.81,9.26,1.98,56.2,1.63,0.0,HIGH,16.58,7.380859375
GEO,35786.0,2.95,39.58,2.08,0.52,5,5.79,24.94,333.48,176.23,512.0,83.65,56.21,3.94,6.74,43.21,6.36,0.0,HIGH,26.29,34.419921875
MEO,7303.0,59.18,53.46,1.17,0.85,2,0.94,17.78,232.92,457.18,512.0,78.78,51.93,8.72,1.17,49.33,1.4,0.0,HIGH,24.73,89.29296875
MEO,3013.78,55.92,51.2,2.47,0.83,4,4.62,53.64,353.53,403.86,512.0,80.63,69.32,1.19,4.75,47.69,5.15,40.85,HIGH,22.74,78.87890625
MEO,3268.61,56.31,89.05,0.68,0.82,2,2.19,38.05,389.94,377.56,512.0,69.9,76.62,4.74,2.37,85.2,2.54,19.12,HIGH,40.73,73.7421875
MEO,9612.8,50.47,90.38,1.86,0.42,3,1.96,16.98,162.05,127.09,512.0,84.86,23.74,2.2,2.36,83.52,2.52,76.7,MEDIUM,62.54,24.822265625
LEO,397.02,90.79,45.98,2.31,1.18,4,3.31,33.31,197.81,200.46,512.0,61.14,35.8,3.22,3.95,45.83,3.68,0.0,HIGH,16.6,39.15234375
GEO,35786.0,3.24,47.4,0.81,0.91,2,1.29,34.68,241.57,455.61,512.0,45.54,39.54,1.05,1.63,47.79,1.65,45.84,LOW,80.4,88.986328125
GEO,35786.0,1.58,73.82,4.41,0.11,1,1.08,55.27,333.11,197.02,512.0,51.87,27.18,7.72,1.28,76.37,1.63,44.85,MEDIUM,46.19,38.48046875
