payload_id,satellite_id,mission_id,payload_type,operation_duration_minutes,power_consumed_kw,memory_generated_gb,temperature_celsius,operation_status
PAY-00001,SAT-0082,MIS-000001,Communication Antenna,226,0.68,24.6,14.4,Completed
PAY-00002,SAT-0001,MIS-000002,Camera,333,6.94,432.0,56.5,Completed
PAY-00003,SAT-0047,MIS-000003,Communication Antenna,1120,0.86,95.4,30.9,Completed
PAY-00004,SAT-0021,MIS-000004,SAR Radar,339,6.0,106.8,31.8,Completed
PAY-00005,SAT-0083,MIS-000005,SAR Radar,821,6.0,150.0,38.3,Completed
PAY-00006,SAT-0050,MIS-000006,Thermal Sensor,1399,7.54,300.0,58.1,Completed
PAY-00007,SAT-0014,MIS-000007,SAR Radar,245,6.0,238.2,54.0,Completed
PAY-00008,SAT-0011,MIS-000008,Thermal Sensor,207,5.98,216.6,50.2,Completed
PAY-00009,SAT-0067,MIS-000009,Thermal Sensor,59,4.63,168.0,34.1,Completed
PAY-00010,SAT-0093,MIS-000010,SAR Radar,298,6.0,38.4,17.4,Completed
PAY-00011,SAT-0055,MIS-000011,Multispectral Sensor,654,7.46,288.6,63.1,Completed
PAY-00012,SAT-0022,MIS-000012,Thermal Sensor,432,6.46,222.6,52.0,Completed
PAY-00013,SAT-0068,MIS-000013,Thermal Sensor,126,0.68,13.2,21.1,Completed
PAY-00014,SAT-0051,MIS-000014,Thermal Sensor,1339,0.5,119.4,28.5,Completed
PAY-00015,SAT-0091,MIS-000015,Thermal Sensor,971,4.7,238.2,51.7,Completed
PAY-00016,SAT-0033,MIS-000016,Communication Antenna,92,2.97,92.4,27.1,Completed
PAY-00017,SAT-0019,MIS-000017,Multispectral Sensor,1297,1.78,153.6,43.7,Completed
PAY-00018,SAT-0053,MIS-000018,Camera,1260,7.07,500.0,57.2,Completed
PAY-00019,SAT-0066,MIS-000019,Multispectral Sensor,192,2.38,103.8,33.7,Completed
PAY-00020,SAT-0091,MIS-000020,Communication Antenna,1356,6.17,297.0,63.6,Completed
PAY-00021,SAT-0090,MIS-000021,Multispectral Sensor,1356,6.25,296.4,59.9,Completed
PAY-00022,SAT-0095,MIS-000022,Multispectral Sensor,922,2.29,150.6,32.6,Completed
PAY-00023,SAT-0090,MIS-000023,Multispectral Sensor,999,7.46,300.0,57.5,Completed
PAY-00024,SAT-0072,MIS-000024,Communication Antenna,1287,4.13,218.4,57.0,Completed
PAY-00025,SAT-0010,MIS-000025,Multispectral Sensor,143,1.33,60.6,22.9,Completed
PAY-00026,SAT-0003,MIS-000026,Multispectral Sensor,579,7.02,269.4,59.7,Completed
PAY-00027,SAT-0080,MIS-000027,Thermal Sensor,68,5.93,196.8,46.2,Completed
PAY-00028,SAT-0011,MIS-000028,Communication Antenna,346,0.78,42.0,15.5,Completed
PAY-00029,SAT-0099,MIS-000029,Camera,191,6.76,402.0,60.9,Completed
PAY-00030,SAT-0077,MIS-000030,SAR Radar,519,6.0,154.2,44.1,Completed
PAY-00031,SAT-0035,MIS-000031,SAR Radar,484,6.0,88.8,34.2,Completed
PAY-00032,SAT-0044,MIS-000032,Camera,813,5.35,375.0,53.2,Completed
PAY-00033,SAT-0032,MIS-000033,SAR Radar,778,6.0,177.0,42.3,Completed
PAY-00034,SAT-0076,MIS-000034,Communication Antenna,538,2.21,129.6,36.5,Completed
PAY-00035,SAT-0024,MIS-000035,Communication Antenna,595,0.58,54.6,19.9,Completed
PAY-00036,SAT-0076,MIS-000036,Communication Antenna,1383,0.95,116.4,34.0,Completed
PAY-00037,SAT-0091,MIS-000037,Camera,359,2.99,179.0,37.4,Completed
