orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score
LEO,385.54,87.48,46.88,3.73,0.45,1,0.96,55.99,420.39,447.88,512.0,59.03,26.07,3.51,1.27,49.78,1.54,56.52,LOW,86.15
SSO,630.33,97.52,76.04,1.8,0.46,1,1.11,17.88,352.72,429.01,512.0,28.13,57.43,4.74,1.79,77.15,1.54,50.08,MEDIUM,55.24
MEO,8197.08,51.98,66.91,0.86,0.52,5,3.62,35.9,445.26,153.34,512.0,79.24,72.71,4.34,4.3,69.45,3.96,0.0,HIGH,31.55
GEO,35786.0,2.39,79.82,2.14,1.04,1,0.46,10.84,127.05,137.64,512.0,21.44,51.57,4.62,0.75,72.63,0.68,85.07,MEDIUM,57.6
GEO,35786.0,4.58,30.85,1.53,1.39,3,3.25,54.99,294.69,17.76,512.0,62.03,50.79,4.9,3.6,23.04,3.83,0.0,HIGH,12.43
MEO,8468.58,55.36,72.41,2.48,1.79,5,4.98,7.53,95.82,229.93,512.0,93.03,50.63,6.82,4.95,67.03,5.34,0.0,HIGH,33.53
MEO,18957.19,48.84,39.73,2.89,0.67,5,5.2,50.23,142.6,31.71,512.0,22.62,45.15,1.61,5.52,38.07,5.49,16.83,HIGH,32.65
SSO,764.08,98.19,93.44,3.56,1.7,4,2.19,29.28,248.09,319.91,512.0,71.65,58.17,9.88,2.5,95.06,2.51,0.0,HIGH,28.7
MEO,14985.39,55.39,47.56,3.21,0.7,5,4.24,46.11,99.24,243.53,512.0,10.96,67.46,2.04,4.52,46.49,4.66,24.3,HIGH,40.67
GEO,35786.0,4.6,70.5,0.65,0.24,4,4.67,48.14,329.95,258.92,512.0,86.36,50.59,1.97,4.91,66.17,5.03,13.8,HIGH,22.2
GEO,35786.0,4.0,36.32,2.6,0.2,1,0.54,27.47,204.38,84.03,512.0,20.18,44.51,6.56,1.11,40.55,0.96,26.64,MEDIUM,59.42
LEO,816.15,80.91,67.77,4.3,0.78,5,5.35,59.92,51.09,210.49,512.0,10.98,27.28,2.27,5.88,60.99,5.66,35.93,MEDIUM,60.4
MEO,9082.1,59.41,85.82,4.05,1.45,1,0.8,59.21,407.79,77.26,512.0,57.6,33.72,8.03,1.63,89.91,1.27,68.42,LOW,82.01
LEO,530.0,94.8,95.47,4.37,1.66,3,1.54,30.78,53.84,201.29,512.0,63.67,43.12,2.82,1.56,99.42,1.79,100.0,LOW,91.76
LEO,940.83,70.83,30.23,4.25,0.85,1,0.81,31.14,384.12,70.26,512.0,30.14,62.45,5.91,0.84,23.47,1.1,38.76,MEDIUM,51.64
MEO,13264.07,57.61,48.16,2.26,0.63,3,1.86,30.53,446.71,442.21,512.0,11.18,72.82,9.64,2.31,47.02,2.21,0.0,HIGH,11.07
GEO,35786.0,1.74,61.08,4.39,0.89,2,1.25,12.51,239.23,182.39,512.0,50.72,68.83,2.83,1.84,61.39,1.59,84.44,HIGH,38.71
