timestamp,satellite_id,battery_level_pct,temperature_c,signal_strength_dbm,power_consumption_w
2026-07-09T16:46:36.001961,SAT-001,95.16,40.46,-50.16,306.39
2026-07-09T17:01:36.001961,SAT-001,93.46,38.16,-47.65,353.72
2026-07-09T17:16:36.001961,SAT-001,92.08,39.3,-48.83,441.35
2026-07-09T17:31:36.001961,SAT-001,91.87,37.25,-44.14,299.63
2026-07-09T17:46:36.001961,SAT-001,90.17,34.84,-47.74,490.52
2026-07-09T18:01:36.001961,SAT-001,89.79,30.14,-57.2,285.65
2026-07-09T18:16:36.001961,SAT-001,87.8,34.87,-43.82,387.25
2026-07-09T18:31:36.001961,SAT-001,89.04,31.56,-53.42,186.43
2026-07-09T18:46:36.001961,SAT-001,90.04,32.23,-40.0,137.03
2026-07-09T19:01:36.001961,SAT-001,89.64,35.31,-43.49,273.07
2026-07-09T19:16:36.001961,SAT-001,88.09,34.53,-47.12,223.14
2026-07-09T19:31:36.001961,SAT-001,88.43,32.68,-59.43,411.27
2026-07-09T19:46:36.001961,SAT-001,88.58,33.36,-51.16,292.77
2026-07-09T20:01:36.001961,SAT-001,87.06,32.71,-53.27,483.82
2026-07-09T20:16:36.001961,SAT-001,85.82,32.05,-47.46,314.88
2026-07-09T20:31:36.001961,SAT-001,84.63,30.89,-46.22,275.06
2026-07-09T20:46:36.001961,SAT-001,83.1,30.75,-54.04,165.96
2026-07-09T21:01:36.001961,SAT-001,81.95,27.43,-40.0,358.37
2026-07-09T21:16:36.001961,SAT-001,80.73,26.95,-41.69,351.2
2026-07-09T21:31:36.001961,SAT-001,82.21,25.57,-40.0,436.81
2026-07-09T21:46:36.001961,SAT-001,80.85,28.07,-40.0,191.98
2026-07-09T22:01:36.001961,SAT-001,82.21,31.35,-50.32,476.67
2026-07-09T22:16:36.001961,SAT-001,81.41,31.23,-53.26,333.23
2026-07-09T22:31:36.001961,SAT-001,79.51,34.78,-40.05,145.55
2026-07-09T22:46:36.001961,SAT-001,78.05,30.26,-44.79,452.49
2026-07-09T23:01:36.001961,SAT-001,77.57,31.09,-53.21,240.2
2026-07-09T23:16:36.001961,SAT-001,75.96,32.15,-53.07,232.7
2026-07-09T23:31:36.001961,SAT-001,76.99,29.06,-41.84,377.18
2026-07-09T23:46:36.001961,SAT-001,76.51,32.39,-47.64,358.03
2026-07-10T00:01:36.001961,SAT-001,77.79,28.08,-40.0,319.21
2026-07-10T00:16:36.001961,SAT-001,77.73,24.43,-40.0,459.56
2026-07-10T00:31:36.001961,SAT-001,78.3,25.54,-40.0,444.42
2026-07-10T00:46:36.001961,SAT-001,77.79,30.31,-42.43,391.08
2026-07-10T01:01:36.001961,SAT-001,77.02,31.01,-54.31,448.84
2026-07-10T01:16:36.001961,SAT-001,77.85,27.95,-42.59,470.1
2026-07-10T01:31:36.001961,SAT-001,77.32,30.5,-43.86,339.43
2026-07-10T01:46:36.001961,SAT-001,76.8,29.87,-55.72,306.96
2026-07-10T02:01:36.001961,SAT-001,75.53,31.67,-45.07,120.11
2026-07-10T02:16:36.001961,SAT-001,74.71,29.57,-42.07,177.93
2026-07-10T02:31:36.001961,SAT-001,75.71,33.38,-60.38,227.5
2026-07-10T02:46:36.001961,SAT-001,74.72,37.88,-58.26,320.75
2026-07-10T03:01:36.001961,SAT-001,73.31,33.88,-47.51,472.8
2026-07-10T03:16:36.001961,SAT-001,72.07,36.62,-43.34,289.15
2026-07-10T03:31:36.001961,SAT-001,72.55,32.0,-53.56,299.86
2026-07-10T03:46:36.001961,SAT-001,71.9,31.39,-56.33,434.32
2026-07-10T04:01:36.001961,SAT-001,71.73,33.04,-61.27,406.77
2026-07-10T04:16:36.001961,SAT-001,71.38,28.81,-51.59,235.78
2026-07-10T04:31:36.001961,SAT-001,72.56,31.83,-40.0,218.19
2026-07-10T04:46:36.001961,SAT-001,70.64,27.77,-47.23,212.22
2026-07-10T05:01:36.001961,SAT-001,71.08,27.43,-50.08,132.52
2026-07-10T05:16:36.001961,SAT-001,71.37,25.66,-53.17,384.6
2026-07-10T05:31:36.001961,SAT-001,71.22,25.33,-56.24,223.69
2026-07-10T05:46:36.001961,SAT-001,70.95,28.65,-46.94,281.99
2026-07-10T06:01:36.001961,SAT-001,71.68,27.11,-40.32,174.92
2026-07-10T06:16:36.001961,SAT-001,72.16,30.6,-54.13,441.31
2026-07-10T06:31:36.001961,SAT-001,71.31,35.54,-63.37,199.48
2026-07-10T06:46:36.001961,SAT-001,71.3,35.53,-53.93,438.01
2026-07-10T07:01:36.001961,SAT-001,69.99,34.32,-40.95,273.29
2026-07-10T07:16:36.001961,SAT-001,70.28,36.09,-54.32,115.15
2026-07-10T07:31:36.001961,SAT-001,69.08,32.33,-49.75,297.37
2026-07-10T07:46:36.001961,SAT-001,70.18,29.77,-52.9,312.04
2026-07-10T08:01:36.001961,SAT-001,69.6,24.94,-50.16,305.55
2026-07-10T08:16:36.001961,SAT-001,70.34,20.88,-55.8,416.77
2026-07-10T08:31:36.001961,SAT-001,70.06,17.03,-51.55,181.94
2026-07-10T08:46:36.001961,SAT-001,69.23,15.94,-53.36,163.51
2026-07-10T09:01:36.001961,SAT-001,70.48,13.81,-52.44,365.44
2026-07-10T09:16:36.001961,SAT-001,71.46,9.86,-49.08,273.18
2026-07-10T09:31:36.001961,SAT-001,72.08,12.18,-49.99,284.49
2026-07-10T09:46:36.001961,SAT-001,72.7,13.36,-54.1,222.91
2026-07-10T10:01:36.001961,SAT-001,72.49,8.54,-44.82,342.56
2026-07-10T10:16:36.001961,SAT-001,72.89,6.77,-56.26,314.41
2026-07-10T10:31:36.001961,SAT-001,71.2,4.9,-59.5,133.75
2026-07-10T10:46:36.001961,SAT-001,72.21,4.35,-41.14,347.09
2026-07-10T11:01:36.001961,SAT-001,71.35,-0.4,-45.01,236.38
2026-07-10T11:16:36.001961,SAT-001,70.09,-4.46,-49.71,485.31
2026-07-10T11:31:36.001961,SAT-001,70.1,-3.4,-53.67,341.83
2026-07-10T11:46:36.001961,SAT-001,68.61,-7.29,-46.77,118.26
2026-07-10T12:01:36.001961,SAT-001,69.94,-9.44,-46.3,114.36
2026-07-10T12:16:36.001961,SAT-001,69.31,-9.38,-44.57,340.46
2026-07-10T12:31:36.001961,SAT-001,68.76,-7.93,-45.14,403.03
2026-07-10T12:46:36.001961,SAT-001,68.64,-11.99,-52.99,385.24
2026-07-10T13:01:36.001961,SAT-001,67.29,-12.49,-42.85,416.14
2026-07-10T13:16:36.001961,SAT-001,67.17,-11.46,-40.0,404.58
2026-07-10T13:31:36.001961,SAT-001,67.78,-7.99,-44.33,178.09
2026-07-10T13:46:36.001961,SAT-001,69.18,-7.18,-49.35,295.1
2026-07-10T14:01:36.001961,SAT-001,68.15,-11.81,-56.21,323.2
2026-07-10T14:16:36.001961,SAT-001,68.49,-11.94,-49.42,301.3
2026-07-10T14:31:36.001961,SAT-001,67.08,-15.82,-53.24,205.12
